1682096510334,25,0.255
1682096513027,26,0.377
1682096514437,26,0.351
1682096515255,26,0.361
1682096515976,26,0.329
1682096516645,26,0.346
1682096517268,26,0.332
1682096517890,26,0.349
1682096519335,9,0
1682096519971,9,0.001
1682096520478,9,0.001
1682096520892,9,0.001
1682096521262,9,0
1682096521626,9,0
1682096522051,9,0
1682096522430,9,0
1682096522805,9,0
1682096523165,9,0
1682096524738,29,1.488
1682096526882,29,1.528
1682096529492,29,1.525
1682096531359,29,1.699
1682096533457,29,1.553
1682096535569,29,1.569
1682096537685,29,1.521
